LON,LAT,GAP
-73.6,3.8,358.58
-73.6,3.805,358.49
-73.6,3.81,358.40
-73.6,3.815,358.31
-73.6,3.82,358.21
-73.6,3.825,358.10
-73.6,3.83,358.00
-73.6,3.835,357.88
-73.6,3.84,357.77
-73.6,3.845,357.65
-73.6,3.85,357.46
-73.6,3.855,357.18
-73.6,3.86,356.87
-73.6,3.865,356.56
-73.6,3.87,356.22
-73.6,3.875,355.87
-73.6,3.88,355.51
-73.6,3.885,355.12
-73.6,3.89,354.72
-73.6,3.895,354.30
-73.6,3.9,353.85
-73.6,3.905,353.39
-73.6,3.91,352.91
-73.6,3.915,352.40
-73.6,3.92,351.88
-73.6,3.925,351.33
-73.6,3.93,350.76
-73.6,3.935,350.17
-73.6,3.94,349.55
-73.6,3.945,348.92
-73.6,3.95,348.26
-73.6,3.955,347.58
-73.6,3.96,346.88
-73.6,3.965,346.16
-73.6,3.97,345.43
-73.6,3.975,344.68
-73.6,3.98,343.91
-73.6,3.985,343.13
-73.6,3.99,342.34
-73.6,3.995,341.54
-73.6,4.0,340.74
-73.6,4.005,339.94
-73.6,4.01,339.13
-73.6,4.015,338.34
-73.6,4.02,337.55
-73.6,4.025,336.77
-73.6,4.03,336.01
-73.6,4.035,335.27
-73.6,4.04,334.56
-73.6,4.045,333.87
-73.6,4.05,333.21
-73.6,4.055,332.58
-73.6,4.06,331.99
-73.6,4.065,331.44
-73.6,4.07,330.93
-73.6,4.075,330.46
-73.6,4.08,330.03
-73.6,4.085,329.65
-73.6,4.09,329.32
-73.6,4.095,329.03
-73.6,4.1,328.78
-73.6,4.105,328.59
-73.6,4.11,328.43
-73.6,4.115,328.32
-73.6,4.12,328.26
-73.6,4.125,328.23
-73.6,4.13,328.24
-73.6,4.135,328.30
-73.6,4.14,328.38
-73.6,4.145,328.50
-73.6,4.15,328.66
-73.6,4.155,328.84
-73.6,4.16,329.05
-73.6,4.165,329.28
-73.6,4.17,329.54
-73.6,4.175,329.81
-73.6,4.18,330.11
-73.6,4.185,330.42
-73.6,4.19,330.75
-73.6,4.195,331.09
-73.6,4.2,331.44
-73.6,4.205,331.81
-73.6,4.21,332.18
-73.6,4.215,332.55
-73.6,4.22,332.93
-73.6,4.225,333.32
-73.6,4.23,333.71
-73.6,4.235,334.10
-73.6,4.24,334.49
-73.6,4.245,334.88
-73.6,4.25,335.27
-73.6,4.255,335.65
-73.6,4.26,336.04
-73.6,4.265,336.42
-73.6,4.27,336.80
-73.6,4.275,337.17
-73.6,4.28,337.54
-73.6,4.285,337.91
-73.6,4.29,338.27
-73.6,4.295,338.62
-73.595,3.8,358.68
-73.595,3.805,358.59
-73.595,3.81,358.50
-73.595,3.815,358.40
-73.595,3.82,358.31
-73.595,3.825,358.20
-73.595,3.83,358.10
-73.595,3.835,357.98
-73.595,3.84,357.87
-73.595,3.845,357.75
-73.595,3.85,357.62
-73.595,3.855,357.46
-73.595,3.86,357.16
-73.595,3.865,356.84
-73.595,3.87,356.51
-73.595,3.875,356.16
-73.595,3.88,355.79
-73.595,3.885,355.40
-73.595,3.89,354.99
-73.595,3.895,354.57
-73.595,3.9,354.12
-73.595,3.905,353.65
-73.595,3.91,353.16
-73.595,3.915,352.64
-73.595,3.92,352.11
-73.595,3.925,351.55
-73.595,3.93,350.96
-73.595,3.935,350.35
-73.595,3.94,349.72
-73.595,3.945,349.06
-73.595,3.95,348.38
-73.595,3.955,347.68
