LON,LAT,GAP
-73.6,3.8,346.39
-73.6,3.805,346.36
-73.6,3.81,346.33
-73.6,3.815,346.31
-73.6,3.82,346.30
-73.6,3.825,346.29
-73.6,3.83,346.28
-73.6,3.835,346.28
-73.6,3.84,346.29
-73.6,3.845,346.31
-73.6,3.85,346.33
-73.6,3.855,346.36
-73.6,3.86,346.40
-73.6,3.865,346.45
-73.6,3.87,346.50
-73.6,3.875,346.57
-73.6,3.88,346.66
-73.6,3.885,346.75
-73.6,3.89,346.86
-73.6,3.895,346.98
-73.6,3.9,347.11
-73.6,3.905,347.26
-73.6,3.91,347.43
-73.6,3.915,347.62
-73.6,3.92,347.83
-73.6,3.925,348.06
-73.6,3.93,348.31
-73.6,3.935,348.58
-73.6,3.94,348.88
-73.6,3.945,349.20
-73.6,3.95,349.25
-73.6,3.955,349.31
-73.6,3.96,349.40
-73.6,3.965,349.50
-73.6,3.97,349.63
-73.6,3.975,349.77
-73.6,3.98,349.94
-73.6,3.985,350.13
-73.6,3.99,350.35
-73.6,3.995,350.60
-73.6,4.0,350.87
-73.6,4.005,351.18
-73.6,4.01,351.51
-73.6,4.015,351.88
-73.6,4.02,352.27
-73.6,4.025,352.69
-73.6,4.03,353.15
-73.6,4.035,352.74
-73.6,4.04,352.26
-73.6,4.045,351.77
-73.6,4.05,351.28
-73.6,4.055,350.80
-73.6,4.06,350.31
-73.6,4.065,349.83
-73.6,4.07,349.35
-73.6,4.075,348.88
-73.6,4.08,348.42
-73.6,4.085,347.96
-73.6,4.09,347.31
-73.6,4.095,346.26
-73.6,4.1,345.23
-73.6,4.105,344.22
-73.6,4.11,343.26
-73.6,4.115,342.33
-73.6,4.12,341.44
-73.6,4.125,340.59
-73.6,4.13,339.79
-73.6,4.135,339.03
-73.6,4.14,338.33
-73.6,4.145,337.67
-73.6,4.15,337.06
-73.6,4.155,336.50
-73.6,4.16,335.98
-73.6,4.165,335.52
-73.6,4.17,335.10
-73.6,4.175,334.72
-73.6,4.18,334.39
-73.6,4.185,334.09
-73.6,4.19,333.84
-73.6,4.195,333.62
-73.6,4.2,333.44
-73.6,4.205,333.29
-73.6,4.21,333.18
-73.6,4.215,333.09
-73.6,4.22,333.03
-73.6,4.225,333.00
-73.6,4.23,332.99
-73.6,4.235,333.01
-73.6,4.24,333.04
-73.6,4.245,333.09
-73.6,4.25,333.17
-73.6,4.255,333.25
-73.6,4.26,333.36
-73.6,4.265,333.47
-73.6,4.27,333.60
-73.6,4.275,333.74
-73.6,4.28,333.89
-73.6,4.285,334.05
-73.6,4.29,334.21
-73.6,4.295,334.39
-73.595,3.8,346.07
-73.595,3.805,346.04
-73.595,3.81,346.00
-73.595,3.815,345.97
-73.595,3.82,345.95
-73.595,3.825,345.93
-73.595,3.83,345.92
-73.595,3.835,345.91
