LON,LAT,GAP
-73.6,3.8,350.90
-73.6,3.805,350.81
-73.6,3.81,350.72
-73.6,3.815,350.63
-73.6,3.82,350.54
-73.6,3.825,350.45
-73.6,3.83,350.36
-73.6,3.835,350.28
-73.6,3.84,350.19
-73.6,3.845,350.10
-73.6,3.85,350.02
-73.6,3.855,349.93
-73.6,3.86,349.85
-73.6,3.865,349.77
-73.6,3.87,349.69
-73.6,3.875,349.61
-73.6,3.88,349.54
-73.6,3.885,349.47
-73.6,3.89,349.41
-73.6,3.895,349.35
-73.6,3.9,349.30
-73.6,3.905,349.25
-73.6,3.91,349.21
-73.6,3.915,349.18
-73.6,3.92,349.15
-73.6,3.925,349.14
-73.6,3.93,349.14
-73.6,3.935,349.14
-73.6,3.94,349.16
-73.6,3.945,349.20
-73.6,3.95,349.25
-73.6,3.955,349.31
-73.6,3.96,349.40
-73.6,3.965,349.50
-73.6,3.97,349.63
-73.6,3.975,349.77
-73.6,3.98,349.94
-73.6,3.985,350.13
-73.6,3.99,350.35
-73.6,3.995,350.60
-73.6,4.0,350.78
-73.6,4.005,350.46
-73.6,4.01,350.14
-73.6,4.015,349.82
-73.6,4.02,349.49
-73.6,4.025,349.17
-73.6,4.03,348.85
-73.6,4.035,348.54
-73.6,4.04,348.23
-73.6,4.045,347.92
-73.6,4.05,347.62
-73.6,4.055,347.33
-73.6,4.06,347.05
-73.6,4.065,346.78
-73.6,4.07,346.52
-73.6,4.075,346.27
-73.6,4.08,346.04
-73.6,4.085,345.82
-73.6,4.09,345.41
-73.6,4.095,344.60
-73.6,4.1,343.82
-73.6,4.105,343.07
-73.6,4.11,342.36
-73.6,4.115,341.69
-73.6,4.12,341.05
-73.6,4.125,340.47
-73.6,4.13,339.93
-73.6,4.135,339.43
-73.6,4.14,338.98
-73.6,4.145,338.58
-73.6,4.15,338.22
-73.6,4.155,337.91
-73.6,4.16,337.65
-73.6,4.165,337.42
-73.6,4.17,337.24
-73.6,4.175,337.09
-73.6,4.18,336.98
-73.6,4.185,336.91
-73.6,4.19,336.86
-73.6,4.195,336.85
-73.6,4.2,336.87
-73.6,4.205,336.91
-73.6,4.21,336.98
-73.6,4.215,337.06
-73.6,4.22,337.17
-73.6,4.225,337.30
-73.6,4.23,337.44
-73.6,4.235,337.60
-73.6,4.24,337.77
