LON,LAT,GAP
-73.6,3.8,350.90
-73.6,3.805,350.81
-73.6,3.81,350.72
-73.6,3.815,350.63
-73.6,3.82,350.54
-73.6,3.825,350.45
-73.6,3.83,350.36
-73.6,3.835,350.28
-73.6,3.84,350.19
-73.6,3.845,350.10
-73.6,3.85,349.96
-73.6,3.855,349.72
-73.6,3.86,349.47
-73.6,3.865,349.21
-73.6,3.87,348.95
-73.6,3.875,348.68
-73.6,3.88,348.40
-73.6,3.885,348.11
-73.6,3.89,347.82
-73.6,3.895,347.51
-73.6,3.9,347.20
-73.6,3.905,346.88
-73.6,3.91,346.56
-73.6,3.915,346.23
-73.6,3.92,345.89
-73.6,3.925,345.55
-73.6,3.93,345.20
-73.6,3.935,344.86
-73.6,3.94,344.50
-73.6,3.945,344.15
-73.6,3.95,343.80
-73.6,3.955,343.45
-73.6,3.96,343.11
-73.6,3.965,342.77
-73.6,3.97,342.45
-73.6,3.975,342.13
-73.6,3.98,341.83
-73.6,3.985,341.55
-73.6,3.99,341.28
-73.6,3.995,341.05
-73.6,4.0,340.84
-73.6,4.005,340.65
-73.6,4.01,340.51
-73.6,4.015,340.40
-73.6,4.02,340.32
-73.6,4.025,340.29
-73.6,4.03,340.31
-73.6,4.035,340.37
-73.6,4.04,340.47
-73.6,4.045,340.63
-73.6,4.05,340.83
-73.6,4.055,341.08
-73.6,4.06,341.37
-73.6,4.065,341.70
-73.6,4.07,342.08
-73.6,4.075,342.49
-73.6,4.08,342.93
-73.6,4.085,343.41
-73.6,4.09,343.70
-73.6,4.095,343.59
-73.6,4.1,343.52
-73.6,4.105,343.47
-73.6,4.11,343.45
-73.6,4.115,343.45
-73.6,4.12,343.47
-73.6,4.125,343.52
-73.6,4.13,343.59
-73.6,4.135,343.67
-73.6,4.14,343.78
-73.6,4.145,343.90
-73.6,4.15,344.03
-73.6,4.155,344.18
-73.6,4.16,344.34
-73.6,4.165,344.51
-73.6,4.17,344.68
-73.6,4.175,344.87
-73.6,4.18,345.06
-73.6,4.185,345.25
-73.6,4.19,345.45
-73.6,4.195,345.66
-73.6,4.2,345.86
-73.6,4.205,346.07
-73.6,4.21,346.28
-73.6,4.215,346.49
-73.6,4.22,346.69
-73.6,4.225,346.90
-73.6,4.23,347.11
-73.6,4.235,347.31
-73.6,4.24,347.52
