LON,LAT,GAP
-73.6,3.8,351.16
-73.6,3.805,351.10
-73.6,3.81,351.05
-73.6,3.815,351.00
-73.6,3.82,350.95
-73.6,3.825,350.91
-73.6,3.83,350.86
-73.6,3.835,350.82
-73.6,3.84,350.78
-73.6,3.845,350.74
-73.6,3.85,350.71
-73.6,3.855,350.68
-73.6,3.86,350.66
-73.6,3.865,350.63
-73.6,3.87,350.61
-73.6,3.875,350.60
-73.6,3.88,350.59
-73.6,3.885,350.59
-73.6,3.89,350.59
-73.6,3.895,350.60
-73.6,3.9,350.62
-73.6,3.905,350.64
-73.6,3.91,350.67
-73.6,3.915,350.71
-73.6,3.92,350.75
-73.6,3.925,350.81
-73.6,3.93,350.87
-73.6,3.935,350.94
-73.6,3.94,351.03
-73.6,3.945,351.11
-73.6,3.95,350.92
-73.6,3.955,350.72
-73.6,3.96,350.52
-73.6,3.965,350.32
-73.6,3.97,350.12
-73.6,3.975,349.92
-73.6,3.98,349.72
-73.6,3.985,349.52
-73.6,3.99,349.32
-73.6,3.995,349.12
-73.6,4.0,348.93
-73.6,4.005,348.74
-73.6,4.01,348.55
-73.6,4.015,348.37
-73.6,4.02,348.19
-73.6,4.025,348.01
-73.6,4.03,347.84
-73.6,4.035,347.68
-73.6,4.04,347.52
-73.6,4.045,347.37
-73.6,4.05,347.23
-73.6,4.055,347.09
-73.6,4.06,346.96
-73.6,4.065,346.84
-73.6,4.07,346.73
-73.6,4.075,346.63
-73.6,4.08,346.54
-73.6,4.085,346.45
-73.6,4.09,346.38
-73.6,4.095,346.32
-73.6,4.1,346.26
-73.6,4.105,346.22
-73.6,4.11,345.89
-73.6,4.115,345.52
-73.6,4.12,345.17
-73.6,4.125,344.83
-73.6,4.13,344.52
-73.6,4.135,344.22
-73.6,4.14,343.95
-73.6,4.145,343.69
-73.6,4.15,343.46
-73.6,4.155,343.24
-73.6,4.16,343.04
-73.6,4.165,342.87
-73.6,4.17,342.71
-73.6,4.175,342.58
-73.6,4.18,342.46
-73.6,4.185,342.36
-73.6,4.19,342.27
-73.6,4.195,342.21
-73.6,4.2,342.16
-73.6,4.205,342.12
-73.6,4.21,342.10
-73.6,4.215,342.09
-73.6,4.22,342.10
-73.6,4.225,342.12
-73.6,4.23,342.15
-73.6,4.235,342.19
-73.6,4.24,342.25
-73.6,4.245,342.31
-73.6,4.25,342.38
-73.6,4.255,342.46
-73.6,4.26,342.55
-73.6,4.265,342.64
-73.6,4.27,342.74
-73.6,4.275,342.85
-73.6,4.28,342.96
-73.6,4.285,343.08
-73.6,4.29,343.20
-73.6,4.295,343.33
-73.595,3.8,351.02
-73.595,3.805,350.96
-73.595,3.81,350.91
-73.595,3.815,350.85
-73.595,3.82,350.80
-73.595,3.825,350.75
-73.595,3.83,350.70
-73.595,3.835,350.65
-73.595,3.84,350.61
-73.595,3.845,350.57
-73.595,3.85,350.53
-73.595,3.855,350.49
-73.595,3.86,350.46
-73.595,3.865,350.43
-73.595,3.87,350.41
-73.595,3.875,350.39
-73.595,3.88,350.38
-73.595,3.885,350.37
-73.595,3.89,350.37
-73.595,3.895,350.37
-73.595,3.9,350.38
-73.595,3.905,350.40
-73.595,3.91,350.42
-73.595,3.915,350.46
-73.595,3.92,350.50
-73.595,3.925,350.55
-73.595,3.93,350.61
-73.595,3.935,350.68
-73.595,3.94,350.76
-73.595,3.945,350.85
-73.595,3.95,350.85
-73.595,3.955,350.64
-73.595,3.96,350.44
-73.595,3.965,350.23
-73.595,3.97,350.02
-73.595,3.975,349.81
-73.595,3.98,349.60
-73.595,3.985,349.39
-73.595,3.99,349.19
-73.595,3.995,348.98
-73.595,4.0,348.78
-73.595,4.005,348.58
-73.595,4.01,348.39
-73.595,4.015,348.19
-73.595,4.02,348.01
-73.595,4.025,347.82
-73.595,4.03,347.64
-73.595,4.035,347.47
-73.595,4.04,347.31
-73.595,4.045,347.15
-73.595,4.05,347.00
-73.595,4.055,346.85
-73.595,4.06,346.72
-73.595,4.065,346.59
-73.595,4.07,346.48
-73.595,4.075,346.37
-73.595,4.08,346.27
-73.595,4.085,346.19
-73.595,4.09,346.11
-73.595,4.095,346.04
-73.595,4.1,345.99
-73.595,4.105,345.94
-73.595,4.11,345.53
-73.595,4.115,345.15
-73.595,4.12,344.78
-73.595,4.125,344.44
-73.595,4.13,344.11
-73.595,4.135,343.81
-73.595,4.14,343.52
-73.595,4.145,343.26
-73.595,4.15,343.02
-73.595,4.155,342.80
-73.595,4.16,342.60
-73.595,4.165,342.43
-73.595,4.17,342.27
-73.595,4.175,342.13
-73.595,4.18,342.02
-73.595,4.185,341.92
-73.595,4.19,341.84
-73.595,4.195,341.78
-73.595,4.2,341.73
-73.595,4.205,341.70
-73.595,4.21,341.69
-73.595,4.215,341.69
-73.595,4.22,341.71
-73.595,4.225,341.73
-73.595,4.23,341.78
-73.595,4.235,341.83
-73.595,4.24,341.89
-73.595,4.245,341.96
-73.595,4.25,342.04
-73.595,4.255,342.13
-73.595,4.26,342.23
-73.595,4.265,342.33
-73.595,4.27,342.44
-73.595,4.275,342.56
-73.595,4.28,342.68
-73.595,4.285,342.81
-73.595,4.29,342.94
-73.595,4.295,343.07
-73.59,3.8,350.88
-73.59,3.805,350.82
-73.59,3.81,350.76
-73.59,3.815,350.70
-73.59,3.82,350.64
-73.59,3.825,350.59
-73.59,3.83,350.53
-73.59,3.835,350.48
-73.59,3.84,350.43
-73.59,3.845,350.39
-73.59,3.85,350.34
-73.59,3.855,350.30
-73.59,3.86,350.26
-73.59,3.865,350.23
-73.59,3.87,350.20
-73.59,3.875,350.18
-73.59,3.88,350.16
-73.59,3.885,350.15
-73.59,3.89,350.14
-73.59,3.895,350.14
-73.59,3.9,350.14
-73.59,3.905,350.15
-73.59,3.91,350.17
-73.59,3.915,350.20
-73.59,3.92,350.24
-73.59,3.925,350.28
-73.59,3.93,350.34
-73.59,3.935,350.41
-73.59,3.94,350.49
-73.59,3.945,350.57
-73.59,3.95,350.68
-73.59,3.955,350.57
-73.59,3.96,350.35
-73.59,3.965,350.14
-73.59,3.97,349.92
-73.59,3.975,349.70
-73.59,3.98,349.49
-73.59,3.985,349.27
-73.59,3.99,349.06
-73.59,3.995,348.84
-73.59,4.0,348.63
-73.59,4.005,348.42
-73.59,4.01,348.22
-73.59,4.015,348.02
-73.59,4.02,347.82
-73.59,4.025,347.63
-73.59,4.03,347.44
-73.59,4.035,347.26
-73.59,4.04,347.08
-73.59,4.045,346.92
-73.59,4.05,346.76
-73.59,4.055,346.61
-73.59,4.06,346.47
-73.59,4.065,346.34
-73.59,4.07,346.21
-73.59,4.075,346.10
-73.59,4.08,346.00
-73.59,4.085,345.91
-73.59,4.09,345.83
-73.59,4.095,345.76
-73.59,4.1,345.71
-73.59,4.105,345.58
-73.59,4.11,345.16
-73.59,4.115,344.76
-73.59,4.12,344.38
-73.59,4.125,344.02
-73.59,4.13,343.68
-73.59,4.135,343.37
-73.59,4.14,343.08
-73.59,4.145,342.81
-73.59,4.15,342.56
-73.59,4.155,342.34
-73.59,4.16,342.14
-73.59,4.165,341.96
-73.59,4.17,341.80
-73.59,4.175,341.67
-73.59,4.18,341.56
-73.59,4.185,341.46
-73.59,4.19,341.39
-73.59,4.195,341.33
-73.59,4.2,341.29
-73.59,4.205,341.27
-73.59,4.21,341.27
-73.59,4.215,341.28
-73.59,4.22,341.30
-73.59,4.225,341.34
-73.59,4.23,341.39
-73.59,4.235,341.45
-73.59,4.24,341.52
-73.59,4.245,341.60
-73.59,4.25,341.69
-73.59,4.255,341.79
-73.59,4.26,341.90
-73.59,4.265,342.01
-73.59,4.27,342.13
-73.59,4.275,342.26
-73.59,4.28,342.39
-73.59,4.285,342.53
-73.59,4.29,342.67
-73.59,4.295,342.81
-73.585,3.8,350.74
-73.585,3.805,350.68
-73.585,3.81,350.61
-73.585,3.815,350.55
-73.585,3.82,350.48
-73.585,3.825,350.42
-73.585,3.83,350.36
-73.585,3.835,350.31
-73.585,3.84,350.25
-73.585,3.845,350.20
-73.585,3.85,350.15
-73.585,3.855,350.11
-73.585,3.86,350.06
-73.585,3.865,350.02
-73.585,3.87,349.99
-73.585,3.875,349.96
-73.585,3.88,349.93
-73.585,3.885,349.91
-73.585,3.89,349.90
-73.585,3.895,349.89
-73.585,3.9,349.89
-73.585,3.905,349.90
-73.585,3.91,349.91
-73.585,3.915,349.94
-73.585,3.92,349.97
-73.585,3.925,350.01
-73.585,3.93,350.06
-73.585,3.935,350.12
-73.585,3.94,350.20
-73.585,3.945,350.28
-73.585,3.95,350.38
-73.585,3.955,350.49
-73.585,3.96,350.27
-73.585,3.965,350.05
-73.585,3.97,349.82
-73.585,3.975,349.60
-73.585,3.98,349.37
-73.585,3.985,349.15
-73.585,3.99,348.92
-73.585,3.995,348.70
-73.585,4.0,348.48
-73.585,4.005,348.26
-73.585,4.01,348.04
-73.585,4.015,347.83
-73.585,4.02,347.63
-73.585,4.025,347.42
-73.585,4.03,347.23
-73.585,4.035,347.04
-73.585,4.04,346.86
-73.585,4.045,346.68
-73.585,4.05,346.51
-73.585,4.055,346.36
-73.585,4.06,346.21
-73.585,4.065,346.07
-73.585,4.07,345.94
-73.585,4.075,345.82
-73.585,4.08,345.72
-73.585,4.085,345.62
-73.585,4.09,345.54
-73.585,4.095,345.47
-73.585,4.1,345.41
-73.585,4.105,345.21
-73.585,4.11,344.77
-73.585,4.115,344.35
-73.585,4.12,343.96
-73.585,4.125,343.58
-73.585,4.13,343.23
-73.585,4.135,342.91
-73.585,4.14,342.61
-73.585,4.145,342.33
-73.585,4.15,342.08
-73.585,4.155,341.86
-73.585,4.16,341.65
-73.585,4.165,341.47
-73.585,4.17,341.32
-73.585,4.175,341.19
-73.585,4.18,341.08
-73.585,4.185,340.99
-73.585,4.19,340.92
-73.585,4.195,340.87
-73.585,4.2,340.84
-73.585,4.205,340.82
-73.585,4.21,340.83
-73.585,4.215,340.85
-73.585,4.22,340.88
-73.585,4.225,340.93
-73.585,4.23,340.99
-73.585,4.235,341.06
-73.585,4.24,341.14
-73.585,4.245,341.23
-73.585,4.25,341.34
-73.585,4.255,341.45
-73.585,4.26,341.56
-73.585,4.265,341.69
-73.585,4.27,341.82
-73.585,4.275,341.96
-73.585,4.28,342.10
-73.585,4.285,342.25
-73.585,4.29,342.40
-73.585,4.295,342.55
-73.58,3.8,350.60
-73.58,3.805,350.53
-73.58,3.81,350.46
-73.58,3.815,350.39
-73.58,3.82,350.32
-73.58,3.825,350.26
