LON,LAT,GAP
-73.6,3.8,342.06
-73.6,3.805,341.92
-73.6,3.81,341.77
-73.6,3.815,341.63
-73.6,3.82,341.50
-73.6,3.825,341.36
-73.6,3.83,341.23
-73.6,3.835,341.10
-73.6,3.84,340.97
-73.6,3.845,340.85
-73.6,3.85,340.73
-73.6,3.855,340.61
-73.6,3.86,340.50
-73.6,3.865,340.40
-73.6,3.87,340.30
-73.6,3.875,340.22
-73.6,3.88,340.13
-73.6,3.885,340.06
-73.6,3.89,340.00
-73.6,3.895,339.95
-73.6,3.9,339.91
-73.6,3.905,339.89
-73.6,3.91,339.88
-73.6,3.915,339.88
-73.6,3.92,339.91
-73.6,3.925,339.95
-73.6,3.93,340.01
-73.6,3.935,340.09
-73.6,3.94,340.19
-73.6,3.945,340.32
-73.6,3.95,340.48
-73.6,3.955,340.66
-73.6,3.96,340.87
-73.6,3.965,341.11
-73.6,3.97,341.39
-73.6,3.975,341.70
-73.6,3.98,341.83
-73.6,3.985,341.55
-73.6,3.99,341.28
-73.6,3.995,341.05
-73.6,4.0,340.84
-73.6,4.005,340.65
-73.6,4.01,340.51
-73.6,4.015,340.40
-73.6,4.02,340.32
-73.6,4.025,340.29
-73.6,4.03,340.31
-73.6,4.035,340.37
-73.6,4.04,340.47
-73.6,4.045,340.63
-73.6,4.05,340.83
-73.6,4.055,341.08
-73.6,4.06,341.37
-73.6,4.065,341.70
-73.6,4.07,342.08
-73.6,4.075,342.49
-73.6,4.08,342.93
-73.6,4.085,343.41
-73.6,4.09,343.70
-73.6,4.095,343.59
-73.6,4.1,343.52
-73.6,4.105,343.47
-73.6,4.11,343.14
-73.6,4.115,342.80
-73.6,4.12,342.48
-73.6,4.125,342.20
-73.6,4.13,341.94
-73.6,4.135,341.72
-73.6,4.14,341.52
-73.6,4.145,341.35
-73.6,4.15,341.20
-73.6,4.155,341.07
-73.6,4.16,340.97
-73.6,4.165,340.89
-73.6,4.17,340.83
-73.6,4.175,340.79
-73.6,4.18,340.77
-73.6,4.185,340.77
-73.6,4.19,340.78
-73.6,4.195,340.80
-73.6,4.2,340.84
-73.6,4.205,340.89
-73.6,4.21,340.95
-73.6,4.215,341.02
-73.6,4.22,341.10
-73.6,4.225,341.19
-73.6,4.23,341.28
-73.6,4.235,341.39
-73.6,4.24,341.50
-73.6,4.245,341.62
-73.6,4.25,341.74
-73.6,4.255,341.86
-73.6,4.26,341.99
-73.6,4.265,342.13
-73.6,4.27,342.26
-73.6,4.275,342.40
-73.6,4.28,342.54
-73.6,4.285,342.69
-73.6,4.29,342.83
-73.6,4.295,342.98
-73.595,3.8,341.79
-73.595,3.805,341.64
-73.595,3.81,341.49
-73.595,3.815,341.34
-73.595,3.82,341.19
-73.595,3.825,341.04
-73.595,3.83,340.90
-73.595,3.835,340.76
-73.595,3.84,340.62
-73.595,3.845,340.48
-73.595,3.85,340.35
-73.595,3.855,340.22
-73.595,3.86,340.10
-73.595,3.865,339.99
-73.595,3.87,339.88
-73.595,3.875,339.77
-73.595,3.88,339.68
-73.595,3.885,339.59
-73.595,3.89,339.52
-73.595,3.895,339.45
-73.595,3.9,339.40
-73.595,3.905,339.36
-73.595,3.91,339.33
-73.595,3.915,339.32
-73.595,3.92,339.33
-73.595,3.925,339.35
-73.595,3.93,339.40
-73.595,3.935,339.46
-73.595,3.94,339.55
-73.595,3.945,339.67
-73.595,3.95,339.81
-73.595,3.955,339.98
-73.595,3.96,340.19
-73.595,3.965,340.42
-73.595,3.97,340.69
-73.595,3.975,341.00
-73.595,3.98,341.34
-73.595,3.985,341.03
-73.595,3.99,340.74
-73.595,3.995,340.47
-73.595,4.0,340.23
-73.595,4.005,340.03
-73.595,4.01,339.86
-73.595,4.015,339.72
-73.595,4.02,339.64
-73.595,4.025,339.59
-73.595,4.03,339.60
-73.595,4.035,339.65
-73.595,4.04,339.76
-73.595,4.045,339.92
-73.595,4.05,340.13
-73.595,4.055,340.40
-73.595,4.06,340.71
-73.595,4.065,341.07
-73.595,4.07,341.47
-73.595,4.075,341.92
-73.595,4.08,342.40
-73.595,4.085,342.92
-73.595,4.09,343.18
-73.595,4.095,343.08
-73.595,4.1,343.00
-73.595,4.105,342.95
-73.595,4.11,342.57
-73.595,4.115,342.22
-73.595,4.12,341.90
-73.595,4.125,341.61
-73.595,4.13,341.36
-73.595,4.135,341.13
-73.595,4.14,340.94
-73.595,4.145,340.77
-73.595,4.15,340.63
-73.595,4.155,340.52
-73.595,4.16,340.43
-73.595,4.165,340.36
-73.595,4.17,340.31
-73.595,4.175,340.28
-73.595,4.18,340.27
-73.595,4.185,340.27
-73.595,4.19,340.30
-73.595,4.195,340.33
-73.595,4.2,340.38
-73.595,4.205,340.45
-73.595,4.21,340.52
-73.595,4.215,340.60
-73.595,4.22,340.70
-73.595,4.225,340.80
-73.595,4.23,340.91
-73.595,4.235,341.02
-73.595,4.24,341.15
-73.595,4.245,341.27
-73.595,4.25,341.41
-73.595,4.255,341.54
-73.595,4.26,341.69
-73.595,4.265,341.83
-73.595,4.27,341.98
-73.595,4.275,342.13
-73.595,4.28,342.28
-73.595,4.285,342.43
-73.595,4.29,342.58
-73.595,4.295,342.74
-73.59,3.8,341.52
-73.59,3.805,341.36
-73.59,3.81,341.20
-73.59,3.815,341.04
-73.59,3.82,340.88
-73.59,3.825,340.72
-73.59,3.83,340.57
-73.59,3.835,340.41
-73.59,3.84,340.26
-73.59,3.845,340.12
-73.59,3.85,339.97
-73.59,3.855,339.83
-73.59,3.86,339.69
-73.59,3.865,339.56
-73.59,3.87,339.44
-73.59,3.875,339.32
-73.59,3.88,339.21
-73.59,3.885,339.11
-73.59,3.89,339.02
-73.59,3.895,338.94
-73.59,3.9,338.87
-73.59,3.905,338.81
-73.59,3.91,338.77
-73.59,3.915,338.74
-73.59,3.92,338.73
-73.59,3.925,338.74
-73.59,3.93,338.77
-73.59,3.935,338.82
-73.59,3.94,338.89
-73.59,3.945,338.99
-73.59,3.95,339.12
-73.59,3.955,339.28
-73.59,3.96,339.47
-73.59,3.965,339.69
-73.59,3.97,339.96
-73.59,3.975,340.26
-73.59,3.98,340.60
-73.59,3.985,340.49
-73.59,3.99,340.17
-73.59,3.995,339.87
-73.59,4.0,339.60
-73.59,4.005,339.36
-73.59,4.01,339.16
-73.59,4.015,339.01
-73.59,4.02,338.90
-73.59,4.025,338.84
-73.59,4.03,338.84
-73.59,4.035,338.89
-73.59,4.04,339.00
-73.59,4.045,339.16
-73.59,4.05,339.39
-73.59,4.055,339.67
-73.59,4.06,340.00
-73.59,4.065,340.39
-73.59,4.07,340.83
-73.59,4.075,341.31
-73.59,4.08,341.84
-73.59,4.085,342.40
-73.59,4.09,342.63
-73.59,4.095,342.53
-73.59,4.1,342.46
-73.59,4.105,342.35
-73.59,4.11,341.95
-73.59,4.115,341.60
-73.59,4.12,341.28
-73.59,4.125,340.99
-73.59,4.13,340.74
-73.59,4.135,340.52
-73.59,4.14,340.33
-73.59,4.145,340.17
-73.59,4.15,340.04
-73.59,4.155,339.94
-73.59,4.16,339.85
-73.59,4.165,339.80
-73.59,4.17,339.76
-73.59,4.175,339.74
-73.59,4.18,339.75
-73.59,4.185,339.77
-73.59,4.19,339.80
-73.59,4.195,339.85
-73.59,4.2,339.92
-73.59,4.205,339.99
-73.59,4.21,340.08
-73.59,4.215,340.18
-73.59,4.22,340.29
-73.59,4.225,340.40
-73.59,4.23,340.52
-73.59,4.235,340.65
-73.59,4.24,340.79
-73.59,4.245,340.93
-73.59,4.25,341.07
-73.59,4.255,341.22
-73.59,4.26,341.38
-73.59,4.265,341.53
-73.59,4.27,341.69
-73.59,4.275,341.85
-73.59,4.28,342.01
-73.59,4.285,342.17
-73.59,4.29,342.34
-73.59,4.295,342.50
-73.585,3.8,341.25
-73.585,3.805,341.08
-73.585,3.81,340.91
-73.585,3.815,340.74
-73.585,3.82,340.57
-73.585,3.825,340.40
-73.585,3.83,340.24
-73.585,3.835,340.07
-73.585,3.84,339.91
-73.585,3.845,339.74
-73.585,3.85,339.59
-73.585,3.855,339.43
-73.585,3.86,339.28
-73.585,3.865,339.14
-73.585,3.87,339.00
