LON,LAT,GAP
-73.6,3.8,349.74
-73.6,3.805,349.60
-73.6,3.81,349.45
-73.6,3.815,349.31
-73.6,3.82,349.16
-73.6,3.825,349.01
-73.6,3.83,348.86
-73.6,3.835,348.70
-73.6,3.84,348.55
-73.6,3.845,348.39
-73.6,3.85,348.23
-73.6,3.855,348.07
-73.6,3.86,347.91
-73.6,3.865,347.74
-73.6,3.87,347.58
-73.6,3.875,347.41
-73.6,3.88,347.24
-73.6,3.885,347.07
-73.6,3.89,346.90
-73.6,3.895,346.74
-73.6,3.9,346.57
-73.6,3.905,346.40
-73.6,3.91,346.23
-73.6,3.915,346.06
-73.6,3.92,345.89
-73.6,3.925,345.73
-73.6,3.93,345.56
-73.6,3.935,345.40
-73.6,3.94,345.24
-73.6,3.945,345.08
-73.6,3.95,344.93
-73.6,3.955,344.78
-73.6,3.96,344.64
-73.6,3.965,344.50
-73.6,3.97,344.37
-73.6,3.975,344.25
-73.6,3.98,343.91
-73.6,3.985,343.13
-73.6,3.99,342.34
-73.6,3.995,341.54
-73.6,4.0,340.74
-73.6,4.005,339.94
-73.6,4.01,339.13
-73.6,4.015,338.34
-73.6,4.02,337.55
-73.6,4.025,336.77
-73.6,4.03,336.01
-73.6,4.035,335.27
-73.6,4.04,334.56
-73.6,4.045,333.87
-73.6,4.05,333.21
-73.6,4.055,332.58
-73.6,4.06,331.99
-73.6,4.065,331.44
-73.6,4.07,330.93
-73.6,4.075,330.46
-73.6,4.08,330.03
-73.6,4.085,329.65
-73.6,4.09,329.32
-73.6,4.095,329.03
-73.6,4.1,328.78
-73.6,4.105,328.59
-73.6,4.11,328.43
-73.6,4.115,328.32
-73.6,4.12,328.26
-73.6,4.125,328.23
-73.6,4.13,328.11
-73.6,4.135,327.90
-73.6,4.14,327.73
-73.6,4.145,327.59
-73.6,4.15,327.49
-73.6,4.155,327.42
-73.6,4.16,327.38
-73.6,4.165,327.38
-73.6,4.17,327.40
-73.6,4.175,327.44
-73.6,4.18,327.51
-73.6,4.185,327.61
-73.6,4.19,327.73
-73.6,4.195,327.86
-73.6,4.2,328.02
-73.6,4.205,328.19
-73.6,4.21,328.38
-73.6,4.215,328.58
-73.6,4.22,328.79
-73.6,4.225,329.02
-73.6,4.23,329.26
-73.6,4.235,329.51
-73.6,4.24,329.76
-73.6,4.245,330.03
-73.6,4.25,330.30
-73.6,4.255,330.57
-73.6,4.26,330.85
-73.6,4.265,331.14
-73.6,4.27,331.42
-73.6,4.275,331.72
-73.6,4.28,332.01
-73.6,4.285,332.30
-73.6,4.29,332.60
-73.6,4.295,332.89
-73.595,3.8,349.70
-73.595,3.805,349.55
-73.595,3.81,349.41
-73.595,3.815,349.26
-73.595,3.82,349.10
-73.595,3.825,348.95
-73.595,3.83,348.79
-73.595,3.835,348.64
-73.595,3.84,348.48
-73.595,3.845,348.31
