STA,LON,LAT
STA1,-71.804514,3.807270
STA2,-71.699009,3.749130
STA3,-71.755819,3.671465
STA4,-71.753738,3.718397
STA5,-71.803265,3.723381
STA6,-71.780375,3.743731
