STA,LON,LAT
STA6,-73.336636,4.123595
STA5,-73.399672,4.114105
STA1,-73.36532,4.059589
STA4,-73.490034,4.050254
STA2,-73.459416,3.999845
STA3,-73.514679,3.986403
