LON,LAT,GAP
-73.6,3.8,341.58
-73.6,3.805,341.45
-73.6,3.81,341.33
-73.6,3.815,341.21
-73.6,3.82,341.10
-73.6,3.825,340.99
-73.6,3.83,340.88
-73.6,3.835,340.78
-73.6,3.84,340.69
-73.6,3.845,340.60
-73.6,3.85,340.53
-73.6,3.855,340.46
-73.6,3.86,340.40
-73.6,3.865,340.35
-73.6,3.87,340.31
-73.6,3.875,340.29
-73.6,3.88,340.28
-73.6,3.885,340.29
-73.6,3.89,340.31
-73.6,3.895,340.36
-73.6,3.9,340.42
-73.6,3.905,340.51
-73.6,3.91,340.62
-73.6,3.915,340.24
-73.6,3.92,339.78
-73.6,3.925,339.33
-73.6,3.93,338.89
-73.6,3.935,338.45
-73.6,3.94,338.02
-73.6,3.945,337.61
-73.6,3.95,337.21
-73.6,3.955,336.84
-73.6,3.96,336.50
-73.6,3.965,336.20
-73.6,3.97,334.83
-73.6,3.975,332.91
-73.6,3.98,330.58
-73.6,3.985,328.24
-73.6,3.99,325.92
-73.6,3.995,323.64
-73.6,4.0,321.42
-73.6,4.005,319.28
-73.6,4.01,317.24
-73.6,4.015,315.31
-73.6,4.02,313.52
-73.6,4.025,311.86
-73.6,4.03,310.34
-73.6,4.035,308.97
-73.6,4.04,307.75
-73.6,4.045,306.67
-73.6,4.05,305.74
-73.6,4.055,304.94
-73.6,4.06,304.28
-73.6,4.065,303.75
-73.6,4.07,303.33
-73.6,4.075,303.04
-73.6,4.08,302.84
-73.6,4.085,302.68
-73.6,4.09,302.35
-73.6,4.095,302.09
-73.6,4.1,301.92
-73.6,4.105,301.82
-73.6,4.11,301.78
-73.6,4.115,301.81
-73.6,4.12,301.89
-73.6,4.125,302.02
-73.6,4.13,302.20
-73.6,4.135,302.43
-73.6,4.14,302.70
-73.6,4.145,303.00
-73.6,4.15,303.34
-73.6,4.155,303.70
-73.6,4.16,304.10
-73.6,4.165,304.52
-73.6,4.17,304.96
-73.6,4.175,305.43
-73.6,4.18,305.91
-73.6,4.185,306.40
-73.6,4.19,306.91
-73.6,4.195,307.43
-73.6,4.2,307.97
-73.6,4.205,308.51
-73.6,4.21,309.05
-73.6,4.215,309.61
-73.6,4.22,310.17
-73.6,4.225,310.73
-73.6,4.23,311.29
-73.6,4.235,311.85
-73.6,4.24,312.42
-73.6,4.245,312.98
-73.6,4.25,313.55
-73.6,4.255,314.11
-73.6,4.26,314.67
-73.6,4.265,315.22
-73.6,4.27,315.77
-73.6,4.275,316.32
-73.6,4.28,316.86
-73.6,4.285,317.40
-73.6,4.29,317.93
-73.6,4.295,318.46
-73.595,3.8,341.22
-73.595,3.805,341.09
-73.595,3.81,340.95
-73.595,3.815,340.82
-73.595,3.82,340.69
-73.595,3.825,340.57
-73.595,3.83,340.45
-73.595,3.835,340.33
-73.595,3.84,340.22
